Напиток,Вариант,Фото,Страница источника,Название у источника
Bulleit Rye,,22ec59df-6b69-4ac6-8e5f-062712f8d119.jpg,https://newelitalco.kz/ru/catalog/bulleit-rye-45-07l_58,"Виски Bulleit Rye 45% (0,7L)"
Jules Gautret VSOP,,4ce45bed-03f6-4766-9d13-2ac5ab759768.jpg,https://newelitalco.kz/ru/catalog/jules-gautret-vsop-40-in-box-07l_24,"Коньяк Jules Gautret V.S.O.P. 40% in Box (0,7L)"
Hennessy VS,,2c06b094-3d23-40dc-a117-523a3d330d67.jpg,https://alcomag.kz/catalog/strong-alcohol/cognac/hennessy-vs-0.7,Hennessy VS 0.7
Hennessy VSOP,,2de60fce-fa2b-4c07-8d03-584f9706e9d5.jpg,"https://alcomag.kz/catalog/strong-alcohol/cognac/hennessy-vsop-0,5","Hennessy VSOP 0,5"
Hennessy XO,,59b4de81-5d0f-4cd6-9c36-59d91ebff6c8.jpg,https://newelitalco.kz/ru/catalog/hennessy-xo-40-gift-box-07l_86,"Коньяк Hennessy X.O. 40% Gift Box (0,7L)"
Armagnac VSOP Château de Laubade,,4e0ca2cf-dc32-45bb-99d5-e5c27eed2db3.jpg,https://www.chateaudelaubade.com/en/vsop/,VSOP FRUITY BALANCE
Calvados VSOP Château du Breuil,,164cc087-b1d8-4419-8b56-03c050b311d9.jpg,https://newelitalco.kz/ru/catalog/chateau-du-breuil-calvados-vsop-pays-dauge-aoc-40-07l_23,"Кальвадос Chateau du Breuil Calvados V.S.O.P., Pays d`Auge AOC 40% (0,7L)"
Grappa di Barolo Gaja,,f03dca18-623a-4fc7-9e4a-2e79c7beafa9.jpg,https://bottleofitaly.com/en/products/grappa-di-barolo-50cl-gaja-astucciato,Grappa di Barolo 50cl - Boxed - Gaja
Torres 15,,3dbe96bf-7cb0-4a86-8742-8a173dd8fa12.jpg,https://newelitalco.kz/ru/catalog/torres-15-yo-reserva-privada-40-in-box-07l_74,"Бренди Torres 15 YO Reserva Privada 40% in Box (0,7L)"
Bacardi Carta Blanca,,4f13c3ff-646e-44ee-8634-dbd49ccfab14.jpg,https://alcomag.kz/catalog/strong-alcohol/rum/bacardi-carta-blanca,Bacardi Carta Blanca
Bacardi Spiced,,91d12f83-e07c-4339-a507-3006cfbe08b1.jpg,https://newelitalco.kz/ru/catalog/bacardi-spiced-40-05l_58,"Ром Bacardi Spiced 40% (0,5L)"
Bacardi OakHeart,,c3c3b83a-9698-440e-aefe-ef193837ae7b.jpg,https://alcomag.kz/catalog/strong-alcohol/rum/bacardi-oakheart,Bacardi OakHeart 0.7
Bacardi Carta Negra,,5faa6bac-cba9-4388-9d8b-fe3910c1a824.jpg,https://newelitalco.kz/ru/catalog/bacardi-carta-negra-40-05l_3,"Ром Bacardi Carta Negra 40% (0,5L)"
Bacardi Reserva Ocho (8 Años),,ec9bcae5-f3fd-4a49-87c3-ea511fb6c5cb.jpg,https://newelitalco.kz/ru/catalog/bacardi-reserva-ocho-8-yo-40-07l_3,"Ром Bacardi Reserva Ocho 8 YO 40% (0,7L)"
